County,City,ZipCode,Agency,FocusArea,Service,Address
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Education,Computer and Related Technology Classes,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Miscellaneous,Donation Pickups,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Miscellaneous,Errand Running/Shopping Assistance,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Miscellaneous,Escort Programs,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Miscellaneous,Friendly Telephoning,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Miscellaneous,Friendly Visiting,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Education,GED/High School Equivalency Test Instruction,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Health,Geriatric Home Nursing,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Miscellaneous,Homemaker Assistance,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Miscellaneous,In Home Hairdressing/Nail Care,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Health,In Home Hospice Care,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Basic Needs,In Home Meal Preparation,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Health,Massage Therapy,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Health,Oncology Home Nursing,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Health,Registered Home Nursing,1540 Paces Ferry N.
Cobb,Smyrna,30080,"United Mission - A Christian Awareness Ministry, Inc.",Health,Rehabilitation/Restorative Home Nursing,1540 Paces Ferry N.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Health,Adult Diabetes Management Clinics,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Health,Assistive Technology Product Evaluation,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Health,Braille Instruction,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Health,Cane Skills Instruction,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Education,Computer and Related Technology Classes,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Health,Disease/Disability Information * Blindness,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Health,Health/Disability Related Counseling,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Health,Independent Living Skills Instruction,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Health,Low Vision Aids,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Health,Sighted Guide Skills Instruction,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Miscellaneous,Specialized Information and Referral * Blindness,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Vision Rehabilitation Services of Georgia,Income,Vocational Rehabilitation,3830 S. Cobb Dr.
Cobb,Smyrna,30080,Woodland Ridge - Senior Living Community at Ridgeview Institute,Health,Adult Day Health Programs,"4005 S. Cobb Dr., SE"
Cobb,Smyrna,30080,Woodland Ridge - Senior Living Community at Ridgeview Institute,Health,Adult Out of Home Respite Care,"4005 S. Cobb Dr., SE"
Cobb,Smyrna,30080,Woodland Ridge - Senior Living Community at Ridgeview Institute,Health,Assisted Living Facilities,"4005 S. Cobb Dr., SE"
Cobb,Smyrna,30080,Woodland Ridge - Senior Living Community at Ridgeview Institute,Health,In Home Adult Day Programs,"4005 S. Cobb Dr., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Health,Benefits Screening,"4300 King Springs Rd., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Homelessness,Electric Service Payment Assistance,"4300 King Springs Rd., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Basic Needs,Food Pantries,"4300 King Springs Rd., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Basic Needs,Formula/Baby Food,"4300 King Springs Rd., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Homelessness,Gas Service Payment Assistance,"4300 King Springs Rd., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Miscellaneous,General Clothing Provision,"4300 King Springs Rd., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Health,Life Skills Education,"4300 King Springs Rd., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Health,Medical Care Expense Assistance,"4300 King Springs Rd., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Income,Mortgage Payment Assistance,"4300 King Springs Rd., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Health,Prescription Expense Assistance,"4300 King Springs Rd., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Income,Rent Payment Assistance,"4300 King Springs Rd., SE"
Cobb,Smyrna,30082,Society of St. Vincent de Paul - St. Thomas Apostle,Homelessness,Water Service Payment Assistance,"4300 King Springs Rd., SE"
Cobb,Smyrna,30339,Service Corps of Retired Executives/SCORE - Cobb Office,Income,Business Consulting Services,240 Interstate N. Pkwy.
Cobb,Smyrna,30339,Service Corps of Retired Executives/SCORE - Cobb Office,Income,Microenterprise Development/Support,240 Interstate N. Pkwy.
Cobb,Smyrna,30339,Service Corps of Retired Executives/SCORE - Cobb Office,Miscellaneous,Workshops/Symposiums * Business Issues,240 Interstate N. Pkwy.
Coweta,Grantville,30220,Area Agency on Aging - Southern Crescent - Grantville Senior Center,Miscellaneous,Congregate Meals/Nutrition Sites,123 LaGrange St.
Coweta,Grantville,30220,Area Agency on Aging - Southern Crescent - Grantville Senior Center,Health,Dietary Services,123 LaGrange St.
Coweta,Grantville,30220,Area Agency on Aging - Southern Crescent - Grantville Senior Center,Health,General Recreational Activities/Sports,123 LaGrange St.
Coweta,Grantville,30220,Area Agency on Aging - Southern Crescent - Grantville Senior Center,Basic Needs,Home Delivered Meals,123 LaGrange St.
Coweta,Grantville,30220,Area Agency on Aging - Southern Crescent - Grantville Senior Center,Basic Needs,Senior Center Bus Services,123 LaGrange St.
Coweta,Grantville,30220,Area Agency on Aging - Southern Crescent - Grantville Senior Center,Basic Needs,Senior Centers,123 LaGrange St.
Coweta,Grantville,30220,Georgia Learning Resources System/GLRS - West Central Center,Health,Disease/Disability Information * Parents of People With Disabilities,99 Brown School Dr.
Coweta,Grantville,30220,Georgia Learning Resources System/GLRS - West Central Center,Miscellaneous,Instructional Materials Centers,99 Brown School Dr.
Coweta,Grantville,30220,Georgia Learning Resources System/GLRS - West Central Center,Miscellaneous,Speakers/Speakers Bureaus,99 Brown School Dr.
Coweta,Grantville,30220,Georgia Learning Resources System/GLRS - West Central Center,Miscellaneous,Specialized Information and Referral * Disabilities Issues,99 Brown School Dr.
Coweta,Grantville,30220,Georgia Learning Resources System/GLRS - West Central Center,Miscellaneous,Workshops/Symposiums * Disabilities Issues,99 Brown School Dr.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Miscellaneous,Armed Forces Emergency Services,770 Greison Tl.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Health,Automated External Defibrillator Training,770 Greison Tl.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Health,CPR Instruction,770 Greison Tl.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Education,Child Care Provider Training,770 Greison Tl.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Health,Choke Saver Courses/Choking Prevention,770 Greison Tl.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Basic Needs,Community Disaster Education,770 Greison Tl.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Basic Needs,Disaster Relief/Recovery Organizations,770 Greison Tl.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Basic Needs,General Disaster Information,770 Greison Tl.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Basic Needs,General Disaster Preparedness Information,770 Greison Tl.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Education,Leadership Development,770 Greison Tl.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Basic Needs,Red Cross Disaster Service Centers,770 Greison Tl.
Coweta,Newnan,30263,American Red Cross - Coweta County Chapter,Education,Swimming Safety Education,770 Greison Tl.
Coweta,Newnan,30263,Area Agency on Aging - Southern Crescent - Tommy Thompson Senior Center,Miscellaneous,Congregate Meals/Nutrition Sites,29 Hospital Rd.
Coweta,Newnan,30263,Area Agency on Aging - Southern Crescent - Tommy Thompson Senior Center,Health,Dietary Services,29 Hospital Rd.
Coweta,Newnan,30263,Area Agency on Aging - Southern Crescent - Tommy Thompson Senior Center,Health,General Recreational Activities/Sports,29 Hospital Rd.
Coweta,Newnan,30263,Area Agency on Aging - Southern Crescent - Tommy Thompson Senior Center,Basic Needs,Home Delivered Meals,29 Hospital Rd.
Coweta,Newnan,30263,Area Agency on Aging - Southern Crescent - Tommy Thompson Senior Center,Basic Needs,Senior Center Bus Services,29 Hospital Rd.
Coweta,Newnan,30263,Area Agency on Aging - Southern Crescent - Tommy Thompson Senior Center,Basic Needs,Senior Centers,29 Hospital Rd.
Coweta,Newnan,30263,Boys & Girls Club - Newnan/Coweta Unit,Education,Boys/Girls Clubs,72 Wesley St.
Coweta,Newnan,30263,Boys & Girls Club - Newnan/Coweta Unit,Education,Dropout Prevention,72 Wesley St.
Coweta,Newnan,30263,Boys & Girls Club - Newnan/Coweta Unit,Education,Extended Child Care,72 Wesley St.
Coweta,Newnan,30263,Boys & Girls Club - Newnan/Coweta Unit,Education,Subject Tutoring,72 Wesley St.
Coweta,Newnan,30263,Boys & Girls Club - Newnan/Coweta Unit,Education,Youth Enrichment Programs,72 Wesley St.
Coweta,Newnan,30263,Breakaway Child Care Center,Education,Child Care Centers,106 W. Washington St.
Coweta,Newnan,30263,Breakaway Child Care Center,Education,Extended Child Care,106 W. Washington St.
Coweta,Newnan,30263,Certified Literate Is Coweta's Key/CLICK,Education,Adult Literacy Programs,"160 Martin Luther King Jr., Dr."
Coweta,Newnan,30263,Certified Literate Is Coweta's Key/CLICK,Income,English as a Second Language,"160 Martin Luther King Jr., Dr."
Coweta,Newnan,30263,Certified Literate Is Coweta's Key/CLICK,Education,GED/High School Equivalency Test Instruction,"160 Martin Luther King Jr., Dr."
Coweta,Newnan,30263,Certified Literate Is Coweta's Key/CLICK,Education,Remedial Mathematics,"160 Martin Luther King Jr., Dr."
Coweta,Newnan,30263,Certified Literate Is Coweta's Key/CLICK,Education,Remedial Reading,"160 Martin Luther King Jr., Dr."
Coweta,Newnan,30263,Community Action for Improvement,Homelessness,Electric Service Payment Assistance,53 Savannah St.
Coweta,Newnan,30263,Community Action for Improvement,Basic Needs,Food Vouchers,53 Savannah St.
Coweta,Newnan,30263,Community Action for Improvement,Homelessness,Gas Service Payment Assistance,53 Savannah St.
Coweta,Newnan,30263,Community Action for Improvement,Homelessness,Housing Search Assistance,53 Savannah St.
Coweta,Newnan,30263,Community Action for Improvement,Income,Mortgage Payment Assistance,53 Savannah St.
Coweta,Newnan,30263,Community Action for Improvement,Income,Rent Payment Assistance,53 Savannah St.
Coweta,Newnan,30263,Community Action for Improvement,Miscellaneous,Weatherization Programs,53 Savannah St.
Coweta,Newnan,30263,Community Kidz,Education,Adult/Child Mentoring Programs,15 Perry St.
Coweta,Newnan,30263,Community Kidz,Miscellaneous,Donation Pickups,15 Perry St.
Coweta,Newnan,30263,Community Kidz,Education,Free School Supplies,15 Perry St.
Coweta,Newnan,30263,Community Kidz,Education,Subject Tutoring,15 Perry St.
Coweta,Newnan,30263,"Community Welcome House, Inc.",Health,Domestic Violence Hotlines,7 W. Washington St.
Coweta,Newnan,30263,"Community Welcome House, Inc.",Miscellaneous,Domestic Violence Shelters,7 W. Washington St.
Coweta,Newnan,30263,"Community Welcome House, Inc.",Health,Family Counseling,7 W. Washington St.
Coweta,Newnan,30263,"Community Welcome House, Inc.",Health,Group Counseling,7 W. Washington St.
Coweta,Newnan,30263,"Community Welcome House, Inc.",Miscellaneous,Thrift Shops,7 W. Washington St.
Coweta,Newnan,30263,"Community Welcome House, Inc.",Health,Women's Support Groups,7 W. Washington St.
Coweta,Newnan,30263,"Coweta CASA, Inc.",Education,Children's Rights Groups,61 Hospital Rd.
Coweta,Newnan,30263,"Coweta CASA, Inc.",Miscellaneous,Guardians ad Litem,61 Hospital Rd.
Coweta,Newnan,30263,Coweta Community Foundation Inc. Stepping Stones,Health,General Expectant/New Parent Assistance Programs,22 Nimmons St.
Coweta,Newnan,30263,Coweta Community Foundation Inc. Stepping Stones,Education,Parenting Skills Classes,22 Nimmons St.
Coweta,Newnan,30263,Coweta Community Foundation Inc. Stepping Stones,Health,Specialized Information and Referral * New Mothers,22 Nimmons St.
Coweta,Newnan,30263,Coweta County Court Service Office,Health,Long Term Case/Care Management,78 Greenville St.
Coweta,Newnan,30263,Coweta County Court Service Office,Health,Specialized Information and Referral * At Risk Youth,78 Greenville St.
Coweta,Newnan,30263,Coweta County DFCS,Education,Adoption Evaluation/Placement,533 Hwy. 29 N.
Coweta,Newnan,30263,Coweta County DFCS,Basic Needs,Child Abuse Reporting/Emergency Response,533 Hwy. 29 N.
Coweta,Newnan,30263,Coweta County DFCS,Education,Child Care Expense Assistance Applications,533 Hwy. 29 N.
Coweta,Newnan,30263,Coweta County DFCS,Basic Needs,Food Stamps/SNAP Applications,533 Hwy. 29 N.
Coweta,Newnan,30263,Coweta County DFCS,Health,Foster Homes for Dependent Children,533 Hwy. 29 N.
Coweta,Newnan,30263,Coweta County DFCS,Income,GAIN Programs,533 Hwy. 29 N.
Coweta,Newnan,30263,Coweta County DFCS,Health,Medicaid Applications,533 Hwy. 29 N.
Coweta,Newnan,30263,Coweta County DFCS,Health,TANF Applications,533 Hwy. 29 N.
Coweta,Newnan,30263,Coweta County Health Department,Health,Anonymous HIV Testing,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Education,Birth Control Counseling,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Blood Pressure Screening,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Breast Examinations,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Childhood Immunizations,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Community Wellness Programs,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Confidential HIV Testing,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Contraception,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Flu Vaccines,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,General Expectant/New Parent Assistance Programs,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,General Health Education Programs,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,HPV Immunizations,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Hearing Screening,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Hepatitis A Immunizations,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Hepatitis B Immunizations,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Mammograms,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Measles/Mumps/Rubella Immunizations,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Meningitis Immunizations,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Pap Tests,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Pneumococcal Pneumonia Immunizations,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Poliovirus Immunizations,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Prostatic Specific Antigen Blood Tests,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Sexually Transmitted Disease Screening,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Sexually Transmitted Disease Treatment,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Sickle Cell Screening,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Smoking Cessation,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Td/Tdap Immunizations,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Education,Teen Expectant/New Parent Assistance,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Tuberculosis Screening,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Vision Screening,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,WIC Applications/Certification,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Health Department,Health,Well Baby Care,70 Hospital Rd.
Coweta,Newnan,30263,Coweta County Recreation and Parks Department,Miscellaneous,City/County Parks,39 Hospital Rd.
Coweta,Newnan,30263,Coweta County Recreation and Parks Department,Miscellaneous,Recreation Centers,39 Hospital Rd.
Coweta,Newnan,30263,"Coweta Organization for Riding, Rehabilitation and Learning/ C.O.R.R.A.L",Health,Equestrian Therapy,52 Oliver Potts Rd.
Coweta,Newnan,30263,Coweta Pregnancy Services,Miscellaneous,Adoption Information,29 Brown St.
Coweta,Newnan,30263,Coweta Pregnancy Services,Health,Clinical Pregnancy Tests,29 Brown St.
Coweta,Newnan,30263,Coweta Pregnancy Services,Health,Fetal Ultrasound,29 Brown St.
Coweta,Newnan,30263,Coweta Pregnancy Services,Education,Parenting Skills Classes,29 Brown St.
Coweta,Newnan,30263,Coweta Pregnancy Services,Health,Physician Referral Services,29 Brown St.
Coweta,Newnan,30263,Coweta Pregnancy Services,Health,Pregnancy Counseling,29 Brown St.
Coweta,Newnan,30263,Division of Child Support Services Coweta Newnan Office,Basic Needs,Child Support Assistance/Enforcement,8A Madison St.
Coweta,Newnan,30263,Division of Child Support Services Coweta Newnan Office,Basic Needs,Child Support Petition Filing Offices,8A Madison St.
Coweta,Newnan,30263,Division of Child Support Services Coweta Newnan Office,Basic Needs,Child Support Wage Assignment Assistance,8A Madison St.
Coweta,Newnan,30263,Division of Child Support Services Coweta Newnan Office,Miscellaneous,Paternity Suits,8A Madison St.
Coweta,Newnan,30263,Division of Child Support Services Coweta Newnan Office,Health,Paternity/Maternity Establishment,8A Madison St.
Coweta,Newnan,30263,Division of Child Support Services Coweta Newnan Office,Miscellaneous,Reverse Paternity Actions,8A Madison St.
Coweta,Newnan,30263,"HFL Resource Center, Inc.",Health,Community Wellness Programs,1131 Hwy. 16
Coweta,Newnan,30263,"HFL Resource Center, Inc.",Basic Needs,Food Lines,1131 Hwy. 16
Coweta,Newnan,30263,"HFL Resource Center, Inc.",Basic Needs,Food Pantries,1131 Hwy. 16
Coweta,Newnan,30263,"HFL Resource Center, Inc.",Health,Healthy Eating Programs,1131 Hwy. 16
Coweta,Newnan,30263,"House Behavioral Youth Resource Development, Inc./B.Y.R.D.",Health,Adolescent/Youth Counseling,19 Perry St.
Coweta,Newnan,30263,"House Behavioral Youth Resource Development, Inc./B.Y.R.D.",Education,Adult/Child Mentoring Programs,19 Perry St.
Coweta,Newnan,30263,"House Behavioral Youth Resource Development, Inc./B.Y.R.D.",Health,Anger Management,19 Perry St.
Coweta,Newnan,30263,"House Behavioral Youth Resource Development, Inc./B.Y.R.D.",Health,Community Mental Health Agencies,19 Perry St.
Coweta,Newnan,30263,"House Behavioral Youth Resource Development, Inc./B.Y.R.D.",Health,Family Counseling,19 Perry St.
Coweta,Newnan,30263,"House Behavioral Youth Resource Development, Inc./B.Y.R.D.",Health,Family Counseling Agencies,19 Perry St.
Coweta,Newnan,30263,"House Behavioral Youth Resource Development, Inc./B.Y.R.D.",Health,Group Counseling,19 Perry St.
Coweta,Newnan,30263,"House Behavioral Youth Resource Development, Inc./B.Y.R.D.",Health,Individual Counseling,19 Perry St.
Coweta,Newnan,30263,"Meals on Wheels of Coweta, Inc.",Miscellaneous,Friendly Visiting,61 Hospital Rd.
Coweta,Newnan,30263,"Meals on Wheels of Coweta, Inc.",Miscellaneous,General Minor Home Repair Programs,61 Hospital Rd.
Coweta,Newnan,30263,"Meals on Wheels of Coweta, Inc.",Basic Needs,Home Delivered Meals,61 Hospital Rd.
Coweta,Newnan,30263,Newnan-Coweta Chamber of Commerce,Income,Business Assistance Centers,23 Bullsboro Dr.
Coweta,Newnan,30263,Newnan-Coweta Chamber of Commerce,Miscellaneous,Chambers of Commerce,23 Bullsboro Dr.
Coweta,Newnan,30263,Newnan-Coweta Chamber of Commerce,Miscellaneous,Directory/Resource List Publication,23 Bullsboro Dr.
Coweta,Newnan,30263,Newnan-Coweta Chamber of Commerce,Miscellaneous,Regional Economic Development,23 Bullsboro Dr.
Coweta,Newnan,30263,Newnan-Coweta Chamber of Commerce,Miscellaneous,Specialized Information and Referral * Business Issues,23 Bullsboro Dr.
Coweta,Newnan,30263,"Newnan-Coweta Habitat for Humanity, Inc.",Miscellaneous,Donation Pickups,150 Pine Rd.
Coweta,Newnan,30263,"Newnan-Coweta Habitat for Humanity, Inc.",Miscellaneous,General Minor Home Repair Programs,150 Pine Rd.
Coweta,Newnan,30263,"Newnan-Coweta Habitat for Humanity, Inc.",Miscellaneous,Low Cost Building Materials/Supplies,150 Pine Rd.
Coweta,Newnan,30263,"Newnan-Coweta Habitat for Humanity, Inc.",Miscellaneous,Sweat Equity Programs,150 Pine Rd.
Coweta,Newnan,30263,"One Roof Ecumenical Alliance Outreach, Inc.",Miscellaneous,Cleaning Products,255 Temple Ave.
Coweta,Newnan,30263,"One Roof Ecumenical Alliance Outreach, Inc.",Basic Needs,Food Pantries,255 Temple Ave.
Coweta,Newnan,30263,"One Roof Ecumenical Alliance Outreach, Inc.",Miscellaneous,Personal/Grooming Supplies,255 Temple Ave.
Coweta,Newnan,30263,"One Roof Ecumenical Alliance Outreach, Inc.",Miscellaneous,Thrift Shops,255 Temple Ave.
Coweta,Newnan,30263,Perpetual Community Resource Centre,Miscellaneous,Fans,12 Savannah St.
Coweta,Newnan,30263,Rutledge Center,Income,Disability Related Center Based Employment,61 Hospital Rd.
Coweta,Newnan,30263,Rutledge Center,Education,Special Needs Job Development,61 Hospital Rd.
Coweta,Newnan,30263,Rutledge Center,Income,Supported Employment,61 Hospital Rd.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Basic Needs,Disaster Donations Hotlines,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Basic Needs,Disaster Donations Matching Services,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Basic Needs,Disaster Donations Staging Areas,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Basic Needs,Disaster Related Clothing/Emergency Supplies,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Basic Needs,Disaster Related Goods Donations Management,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Homelessness,Electric Service Payment Assistance,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Basic Needs,Food Pantries,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Homelessness,Gas Service Payment Assistance,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Miscellaneous,General Clothing Provision,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Basic Needs,Mass Feeding Services,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Income,Rent Payment Assistance,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Miscellaneous,Thrift Shops,670 Jefferson St.
Coweta,Newnan,30263,Salvation Army - Coweta County Service Unit,Homelessness,Water Service Payment Assistance,670 Jefferson St.
Coweta,Newnan,30263,Society of St. Vincent de Paul - St. George,Health,Benefits Screening,
Coweta,Newnan,30263,Society of St. Vincent de Paul - St. George,Homelessness,Electric Service Payment Assistance,
Coweta,Newnan,30263,Society of St. Vincent de Paul - St. George,Homelessness,Gas Service Payment Assistance,
Coweta,Newnan,30263,Society of St. Vincent de Paul - St. George,Miscellaneous,General Clothing Provision,
Coweta,Newnan,30263,Society of St. Vincent de Paul - St. George,Health,Medical Care Expense Assistance,
Coweta,Newnan,30263,Society of St. Vincent de Paul - St. George,Income,Mortgage Payment Assistance,
Coweta,Newnan,30263,Society of St. Vincent de Paul - St. George,Health,Prescription Expense Assistance,
Coweta,Newnan,30263,Society of St. Vincent de Paul - St. George,Income,Rent Payment Assistance,
Coweta,Newnan,30263,Society of St. Vincent de Paul - St. George,Homelessness,Water Service Payment Assistance,
Coweta,Newnan,30264,Coweta County School District,Income,Adult Basic Education,237 Jackson St.
Coweta,Newnan,30264,Coweta County School District,Income,Adult High School Diploma Programs,237 Jackson St.
Coweta,Newnan,30264,Coweta County School District,Education,Elementary School Districts,237 Jackson St.
Coweta,Newnan,30264,Coweta County School District,Education,GED/High School Equivalency Test Instruction,237 Jackson St.
Coweta,Newnan,30264,Coweta County School District,Education,High School Districts,237 Jackson St.
Coweta,Newnan,30264,Coweta County School District,Education,Intermediate Schools,237 Jackson St.
Coweta,Newnan,30264,Coweta County School District,Education,Middle Schools,237 Jackson St.
Coweta,Newnan,30264,Coweta County School District,Education,Primary Schools,237 Jackson St.
Coweta,Newnan,30264,Coweta County School District,Education,Secondary/High Schools,237 Jackson St.
Coweta,Newnan,30264,Coweta County Victim-Witness Assistance Program,Miscellaneous,Certificates/Forms Assistance,72 Greenville St.
Coweta,Newnan,30264,Coweta County Victim-Witness Assistance Program,Miscellaneous,Crime Victim Accompaniment Services,72 Greenville St.
Coweta,Newnan,30264,Coweta County Victim-Witness Assistance Program,Miscellaneous,Crime Victim Compensation,72 Greenville St.
Coweta,Newnan,30264,Coweta County Victim-Witness Assistance Program,Miscellaneous,Crime Witness Support,72 Greenville St.
Coweta,Newnan,30264,Georgia Department of Veteran Services - Newnan,Miscellaneous,Veteran Benefits Assistance,22 E. Broad St.
Coweta,Newnan,30264,Georgia Department of Veteran Services - Newnan,Health,Veteran Burial Benefits,22 E. Broad St.
Coweta,Newnan,30264,Georgia Department of Veteran Services - Newnan,Education,Veteran Education Benefits,22 E. Broad St.
Coweta,Newnan,30264,Georgia Department of Veteran Services - Newnan,Income,Veteran Home Loans,22 E. Broad St.
Coweta,Newnan,30264,Special Olympics Coweta County,Miscellaneous,Donation Pickups,167 Werz Industrial Blvd.
Coweta,Newnan,30264,Special Olympics Coweta County,Health,Special Olympics,167 Werz Industrial Blvd.
